Git Repo	Before Hash	After Hash	Extracted From Method Name	Extracted To Method Name	FQ Class Name
https://github.com/SecUpwN/Android-IMSI-Catcher-Detector.git	ba1784dbaac40a8b2ee6ae32e8dbb025be1e57dc	e235f884f2e0bc258da77b9c80492ad33386fa86			
			public onCreate(database SQLiteDatabase) : void	private createCellSignalTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createOpenCellIDTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createDefaultMCCTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createLocationTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createSilentSmsTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createCellTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
			public onCreate(database SQLiteDatabase) : void	private createEventLogTable(database SQLiteDatabase) : void	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper
					
https://github.com/crashub/crash.git	3224abedd01aaa85aae9ae3399efe92557f42e55	2801269c7e47bd6e243612654a74cee809d20959			
			public loadKeys() : Iterable&lt;KeyPair&gt;	private convertPemKeyPair(pemKeyPair PEMKeyPair) : KeyPair	org.crsh.auth.FilePublicKeyProvider
					
https://github.com/oblac/jodd.git	0cea98ced0330c8bdea8d22c1a21b8322ef1c5db	722ef9156896248ef3fbe83adde0f6ff8f46856a			
			protected formBuffer() : Buffer	protected resolveFormEncoding() : String	jodd.http.HttpBase
					
https://github.com/realm/realm-java.git	4eadf96a5764029c755b826c88fbc081709afe33	6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb			
			private showStatus(realm Realm) : void	private showStatus(txt String) : void	io.realm.examples.realmmigrationexample.MigrationExampleActivity
					
https://github.com/fabric8io/fabric8.git	374c36e511fef3c266f64c9d9923dfe5403be7bd	8127b21a220ca677c4e59961d019e7753da7ea6e			
			protected getLivenessProbe() : Probe	protected getProbe(prefix String) : Probe	io.fabric8.maven.JsonMojo
					
https://github.com/puniverse/quasar.git	8b82ea055d01298d0cbac886d3f59230418dfb8e	c22d40fab8dfe4c5cad9ba582caf0855ff64b324			
			public onSubscribe(s Subscription) : void	protected failedSubscribe(s Subscription) : void	co.paralleluniverse.strands.channels.reactivestreams.ChannelSubscriber
					
https://github.com/rstudio/rstudio.git	42c7560174f6f64cc933d42151bb45f9b773ced1	cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe			
			protected wrapMenuBar(menuBar ToolbarMenuBar) : Widget	protected setMaxHeight(maxHeight int) : void	org.rstudio.core.client.widget.ScrollableToolbarPopupMenu
					
https://github.com/Athou/commafeed.git	dfbd556bb809d9af61abd577628d0fb12e10035c	18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7			
