Src_Modifiers,Src_Num_Parameters,Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,commonVariableAccess,commonFieldAccess,commonInvocation,commonTypeAccess,commonTypedElement,commonModifiable
[protected],5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
[protected],3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
[protected],5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
[protected],5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
[protected],3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
[public],0,8,2,1,11,0,0,0,0,0,0,6,2,0,0,0,12,3,0,5,1,0,0,0,0,0,6,1,0,0,0,1,0,0,1,3,0
[public],1,1,1,1,1,0,0,0,0,0,0,6,3,0,0,0,10,1,1,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,1,3,0
[public],0,1,1,1,1,0,0,0,0,0,0,5,3,0,0,0,10,1,1,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,1,3,0
[public],0,1,0,11,0,0,0,0,0,0,0,5,5,0,0,0,4,0,19,2,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0
[public],0,5,0,5,9,0,0,0,0,0,0,7,7,0,0,0,10,0,5,9,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0
[public],0,7,1,6,10,0,0,0,0,0,0,9,7,0,0,0,10,0,5,9,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,1,0
[public],1,10,2,4,28,0,0,0,9,0,0,16,0,0,0,2,14,0,0,7,0,0,0,3,0,0,3,0,0,0,0,1,0,4,0,5,0
[public],1,7,4,6,33,1,0,0,1,0,0,25,9,2,0,3,8,1,4,4,0,0,0,0,0,0,7,0,1,0,1,1,0,0,0,1,0
[public],1,10,27,23,60,4,0,0,7,0,0,101,12,0,0,8,44,10,2,19,2,0,0,3,0,0,38,4,0,0,1,5,0,1,3,11,0
[public],1,10,27,23,60,4,0,0,7,0,0,101,12,0,0,8,19,3,3,12,1,0,0,1,0,0,10,1,0,0,0,2,1,0,2,4,0
[public],3,4,2,1,3,0,0,0,0,0,0,7,1,0,0,0,8,2,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0
[public],1,15,9,4,14,0,0,0,0,0,0,17,0,0,0,1,14,4,0,6,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,3,0
[public],0,12,5,12,20,0,0,0,6,0,0,36,21,0,0,2,16,2,4,5,0,0,0,2,0,0,11,5,0,0,2,2,1,0,2,7,0
[public],0,12,5,12,20,0,0,0,6,0,0,36,21,0,0,2,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0
"[public, static]",1,30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,11,0,0,7,0,0,0,0,0,0,3,2,0,0,0,0,0,1,2,3,0
"[public, static]",1,30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
"[public, static]",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,49,1,9,11,0,0,0,6,0,0,26,3,0,0,5,0,0,0,0,0,0
"[public, static]",2,5,2,11,12,0,0,0,6,0,0,30,3,0,0,6,49,1,9,11,0,0,0,6,0,0,26,3,0,0,5,0,0,0,0,1,0
[public],1,3,20,42,93,8,0,0,16,0,0,122,12,0,0,6,8,0,3,5,0,0,0,1,0,0,12,0,0,0,0,0,0,0,3,5,0
[public],1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,76,11,7,31,1,0,0,8,0,0,39,4,0,0,2,5,2,4,4,22,2
[public],1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,86,1,12,49,0,0,0,1,0,0,59,45,0,0,6,6,4,1,2,20,2
[public],1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,21,1,0,9,0,0,0,2,0,0,10,6,0,0,2,2,2,1,1,8,2
[public],1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,63,4,1,35,0,0,0,6,0,0,26,6,1,0,1,3,1,1,1,9,1
[public],1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,61,14,6,22,2,0,2,0,0,0,38,10,0,0,5,6,4,1,1,19,1
"[public, final]",3,4,5,6,17,0,0,0,7,1,0,32,0,0,0,2,30,3,6,11,0,0,0,6,1,0,22,0,0,0,2,0,0,0,1,2,0
[protected],1,6,3,6,9,0,0,0,3,0,0,16,3,0,0,4,19,1,6,4,0,0,0,3,0,0,7,3,0,0,0,0,0,0,0,0,0
[public],0,10,6,31,19,0,0,0,7,0,0,45,23,5,0,5,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,3,0
[public],1,18,7,31,42,1,0,1,11,0,0,54,34,0,0,5,52,4,28,28,0,0,0,6,0,0,39,28,0,0,4,1,1,0,1,3,0
[public],0,3,2,25,21,1,1,0,8,0,0,44,24,0,0,10,69,2,20,21,1,1,0,6,0,0,37,17,0,0,7,2,2,0,1,7,0
[public],0,5,1,7,9,1,1,0,7,0,0,15,14,0,0,1,7,0,3,1,0,0,0,2,0,0,4,4,0,0,1,0,0,0,1,3,0
[public],0,3,0,4,1,0,0,0,2,0,0,6,6,0,0,1,7,0,2,2,0,0,0,1,0,0,7,7,0,0,2,0,0,0,0,1,0
[public],0,11,6,1,14,0,0,0,0,0,0,12,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
[public],0,12,5,1,15,0,0,0,0,0,0,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"[public, static]",1,6,5,9,12,1,0,0,4,0,0,17,2,0,0,0,18,3,4,7,1,0,0,1,0,0,11,1,0,0,0,1,1,0,1,2,0
[protected],3,7,6,15,35,0,0,0,6,0,0,41,0,0,0,0,4,0,1,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0
[public],3,2,1,5,6,0,0,0,1,0,1,13,4,0,0,0,3,1,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0
